,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,literature,subjects,east,placidia,tribe,arms,abuse,jupiter,profane,day,number,public,term,innocent,accepted,crimes,spiritual,tyrant,victory,foreign,soldiers,narses,barbarians,second,account,valuable,inhabitants,distance,mother,attentive,hand,administration,satisfied,brethren,important,palace,coast,civil,war,social,perpetual,language,zoroaster,timour,gold,sins,princes,wife,lost,time,restraints,arabia,honour,professions,near,honourable,shores,hands,astonishment,union,soldiers,fierce,perpetual,rank,senate,principal,sentence,far,edifice,comparing,sound,wood,turks,city,injuries,labour,republic,innovation,preserved,taxes,master,father,bosphorus,sentence,roman,instead,standard,years,refinement,thy,public,thousand,italy,rienzi,longer,pope,neighbouring,policy,valentinian,common
1,world,invincible,genius,palace,mosch,considerable,various,altars,spirit,ctesiphon,country,palaeologus,authority,coast,servile,faith,inferior,children,egypt,price,gelimer,german,province,hills,government,private,military,mankind,government,employed,life,true,founder,throne,city,flanders,subjects,courtenay,family,mountains,martyrs,neglect,family,native,augustus,hand,barbarians,person,thy,people,jews,persia,crusaders,great,captives,barbarians,macrinus,nature,credulity,cause,obedience,land,country,national,civil,spot,reduced,immediate,composed,modern,sword,title,government,visigoths,military,arms,greek,begotten,prevailed,industry,society,heads,rome,carried,duke,gradually,far,distant,candidly,settled,annual,reverence,frequent,captive,march,west,pious,sacred,royal,sapor
2,youth,germans,instead,passed,blood,rome,order,ancient,powers,persia,discover,nations,victory,line,soldiers,resentment,college,military,zeal,race,patience,petrarch,lost,treasure,provinces,king,princes,land,repeated,gaul,holy,general,earth,blood,presence,war,barbarians,citizens,advice,private,ruin,secure,inscribed,gold,prince,glory,subjects,subjects,army,turks,number,domestic,latins,war,nations,time,public,transported,credit,archbishop,prudence,soon,church,patrimony,voluntary,prince,war,war,supported,luxury,companions,romans,monarchy,east,received,quarter,power,moderation,state,pieces,theophilus,protect,euxine,opposition,legal,successors,mountains,blood,meditate,female,common,policy,received,present,strength,knights,blushed,successor,palace,prince
3,masters,armenia,general,court,holy,diocletian,country,sect,persons,ships,sufficient,march,sceptre,kingdom,edecon,respective,superstition,prosperity,liberal,age,spirit,daughter,character,st,second,monks,sword,distinguished,abandoned,people,empire,moment,monarchy,character,soldiers,early,virgin,service,virtue,christians,magistrate,patiently,henry,limits,soldiers,commodus,magi,virtues,number,land,indulgence,present,rank,civil,slaves,arms,navigation,difficulty,ministers,years,maxentius,thousand,emperors,constantine,use,jovian,important,faithful,measure,time,pleasure,china,important,rhine,persons,use,monarch,attalus,constantinople,expense,treasury,various,province,loss,honours,throne,miles,secretly,chapel,entrusted,new,arms,independent,daughter,foot,ambition,decius,barbarians,popular,celebrated
4,school,valour,media,constantinople,days,principal,legislative,secret,according,defence,acquired,obtained,lamented,frederic,ayesha,huns,sacred,fame,arms,christians,assembly,king,virtues,enemy,subjects,death,power,feeble,pertinax,advantages,greeks,employed,st,private,mind,greek,conqueror,romans,action,limits,eastern,march,lost,metropolis,brothers,said,fertile,family,princes,general,apostles,faithful,armies,adopted,use,public,seven,cold,temper,communion,statues,numerous,great,throne,industry,directed,did,pictures,empire,cattle,sapor,intercourse,blood,britain,revenge,army,directed,having,armed,lands,varangians,use,africa,abyss,judgment,barbarians,north,words,erected,persons,ancestors,magistrates,art,preserved,presence,venice,colchians,reason,peace,life
5,philosophers,according,times,tyrant,chief,success,years,men,received,constructed,society,theodore,condition,country,roman,circus,use,armour,enemies,nobles,athanasius,love,hope,gothic,honoured,humanity,dangerous,race,constantinople,syrians,country,life,tribute,mutual,long,native,siege,barbarians,russians,seasonable,holy,robert,obliged,power,birth,country,religion,dignity,age,latins,enemies,son,soldiers,tyrant,gold,returned,revenge,read,syria,heretics,magistrates,constantinople,enjoyed,provinces,italy,sovereign,provoked,ardour,stones,particular,throne,abdallah,trajan,germany,customs,pope,huns,respect,memory,period,fortunate,let,state,consciousness,mind,reduced,numbers,reduced,substance,spirit,magistrate,subject,ordinary,gold,sea,michael,dome,danger,provinces,revenge
6,native,mind,soldiers,presence,place,labours,soon,spiritual,primitive,enemy,national,distinction,fraternal,honours,civil,emperor,constantine,person,headlong,courage,command,monarchy,freedom,hands,magistrates,accept,war,common,belisarius,dress,sovereign,divine,annual,subjects,oppressed,spread,character,soon,caaba,provinces,curiosity,orthodox,courtenays,temple,italy,head,venetians,great,king,discharged,rapine,arts,prince,years,soil,humanity,ardour,arians,caesarea,exile,gold,coast,constantine,arms,world,ducas,bari,profane,form,fausta,strength,language,men,emperor,magistrate,free,state,edicts,peasants,according,domestic,secure,conquest,boniface,venerable,discord,discipline,discipline,consecrated,long,time,language,earthquake,clovis,nation,palaeologus,gothic,life,archbishop,magistrate
7,rhetoric,passions,fortune,soldiers,tribute,illyrian,constantine,primitive,state,persian,town,diocletian,sons,posterity,hands,popular,rank,child,france,ancient,justinian,different,purchased,vatican,use,fleet,theodoric,number,theodora,preceptors,camp,europe,alps,justice,emperors,champagne,christian,primitive,recommended,acknowledged,labour,latin,senator,salerno,arms,city,asia,state,journey,volunteers,divine,world,emigration,gildo,head,just,erected,covered,deep,prelates,service,age,ambition,restored,dominion,eloquence,great,consistent,lofty,near,sons,conquest,support,kingdoms,sovereign,raymond,age,huns,rights,supply,land,began,sufficient,regius,life,sacred,germany,life,thoughts,valour,families,officers,rich,ambition,received,land,world,constantine,spirit,faith
8,human,sovereign,euphrates,military,abubeker,illyricum,provinces,antiquity,ecclesiastical,far,discipline,alliance,dalmatius,allies,province,bishop,christianity,soldier,preserved,europe,military,price,favour,bridge,authority,sidonius,splendour,principal,taste,maximian,hope,blind,antony,danger,care,jerusalem,seven,great,guarded,emperors,greeks,laws,derived,peace,fortune,law,domestic,favour,europe,turkish,temper,hopes,viewing,honourable,considerable,virtue,army,leaders,countries,condemned,vacant,italy,just,displayed,pillar,subjects,fame,prince,river,senator,deserved,trade,number,charlemagne,civil,attack,coast,safety,reign,value,longer,soon,continent,maritime,represented,enemy,retreat,arms,inspired,battle,italy,important,republic,period,campania,title,foot,days,civil,majesty
9,original,civil,romans,usurper,camels,strength,war,devout,various,provinces,extended,rome,athenais,civil,war,freedom,character,husband,dominion,sword,tribune,granted,arts,ruins,preserved,danger,peace,europe,young,power,said,quarters,encompassed,principal,life,christendom,turks,servile,city,consent,precious,zeno,office,character,constantine,theodora,number,youth,phranza,deep,naturally,provinces,temugin,empire,retreat,life,arabia,great,suggest,west,senate,zeal,hostile,vandals,land,fidelity,saracens,young,antiquity,magistrate,private,samarcand,prince,national,title,days,exposed,edict,language,laws,birth,liberty,emperor,banishment,laws,cities,enemies,constantinople,circumstances,natural,modern,hands,state,diocletian,hungary,pilgrims,gift,residence,damasus,manners
10,practice,language,subjects,instead,othman,appeared,light,sacred,body,coast,host,conduct,lewis,abused,peace,vandals,right,dissolution,ghost,strong,use,profession,italy,state,country,arts,long,space,left,synesius,long,unhappy,praetor,faithful,new,merit,important,plebeians,counsellors,personal,bestowed,africa,death,adjacent,health,merit,soil,honours,christians,river,citizen,sapor,syria,imperial,gratitude,maximus,temple,epistle,opinion,throne,monuments,successors,governors,reputation,capital,shall,spirit,body,sophia,riches,situation,senate,soon,princes,servitude,strong,march,bishop,burgundians,far,slaves,vessel,vandals,according,romans,emperors,legions,treaty,positive,glory,foreign,vanity,imperial,nobles,courage,franks,century,declared,bahram,use
11,familiar,moderation,temper,enemy,commander,heavy,new,new,martyrs,soon,defence,race,alboin,gold,soliman,sovereign,derived,captives,theodora,leo,senators,obliged,courage,demolished,secret,freedom,order,men,army,adjacent,king,strength,title,contempt,fortune,language,constantinople,france,form,imputed,christian,meditated,books,emperor,tyrant,dangerous,ambition,soldiers,personal,peace,entitled,christian,baldwin,character,honour,surprised,greece,conceived,addicted,peter,manners,church,christian,youth,likewise,different,palace,model,bajazet,right,danger,nation,new,new,universal,john,reign,epiphanius,fixed,slaves,long,city,syria,private,acknowledged,romans,soldiers,walls,opinions,children,exercise,flattery,narrow,pieces,danger,war,supported,gothic,roman,commission
12,arts,ministers,constantinople,body,amrou,gaul,money,pious,degree,east,strangers,favour,royal,pride,captive,age,cause,odoacer,justinian,army,youth,honour,empress,towers,monarch,people,respective,east,weakness,youth,brother,lake,prevented,saturninus,character,natives,long,cities,helm,arms,reduced,thrasimund,decrees,extent,temple,private,ocean,laws,sultan,monarch,constantine,policy,consumed,corinth,important,stilicho,god,lines,consisting,schism,severe,received,arts,egypt,prince,state,indulged,features,circumference,pastures,st,reign,death,republic,imperial,peace,new,guilt,private,equal,spirit,innocent,feet,rapid,order,weight,attila,doubtful,inquiry,original,images,possessed,establishment,public,legions,christian,nature,ambrose,men,admitted
13,history,great,mankind,alps,faith,cilicia,tribonian,proselytes,reason,long,neighbours,strength,conduct,hope,head,spirit,soon,public,bernard,execution,just,sons,subjects,inhabitants,profession,monastic,superior,cultivation,conqueror,imperial,second,thousand,narses,public,instead,barbarians,army,personal,russian,goths,roman,general,present,inhabitants,multitude,day,moors,prefect,murdered,royal,boethius,tigris,florianus,obtained,subjects,esteem,macedonian,death,discharging,pontiff,period,revolution,reign,life,condition,mankind,soon,use,ornaments,constantine,general,number,savage,lombards,exercise,victory,vandal,justinian,asserted,years,conquerors,citizens,restored,situation,virtue,authority,nations,prince,church,personal,senator,palace,filled,east,compelled,duke,fortifications,death,merit,gates
14,tongue,sects,fame,king,tribes,general,citizens,mankind,happiness,camp,waters,ambition,praetorian,spirit,germans,gradually,apostles,arms,nobles,empire,state,veterans,new,reign,death,gothic,virtue,food,days,character,soon,world,victory,actions,prince,baltic,ditch,acquired,danube,north,reign,west,fourteenth,distance,real,command,life,tyrant,reputation,march,truth,new,brother,magistrates,enemy,ruined,length,officers,duties,temporal,majorian,antioch,honour,mind,rich,church,race,person,gold,city,island,progress,powers,burgundians,manners,country,merit,rejected,britain,long,faithful,palace,concealed,time,influence,civil,advanced,long,involved,principle,use,till,nation,government,till,kingdom,great,goths,cause,arms
15,learned,ambition,church,rome,enemies,infantry,exercise,deities,use,military,believe,tacitus,romans,character,temper,favour,judgment,support,long,state,pertinax,volunteers,daughter,soldiers,thousand,throne,sun,left,pleasure,capital,sword,painful,king,civil,sign,missionary,life,merit,seven,theudes,remote,palace,manichaeans,palace,state,penance,reign,provinces,time,person,use,turks,discord,church,power,chastity,honour,left,vain,greeks,khans,african,niger,emperor,power,private,principles,magistrates,field,liberal,tribune,princes,law,state,state,hand,vain,duration,public,proportion,labour,danger,city,relief,character,victory,great,new,platonic,affected,habits,world,seldom,caesars,danube,christians,monarch,imperial,freedom,defence
16,art,christian,country,walls,prayer,new,princes,idolatry,experience,emperor,conquest,franks,united,house,suffered,theodora,inclination,rank,moment,arms,head,emperor,rival,justinian,retired,hatred,rome,greeks,women,emperors,battle,flowed,pepin,numerous,legions,acknowledge,cities,thousand,mariners,huniades,antiquity,prepared,century,harbour,formed,character,africa,authority,soon,lost,rank,monarch,longer,country,years,nature,arts,authors,imagination,persecution,country,world,nature,death,labour,john,action,worship,numerous,war,pirates,cities,defence,authority,ambition,palaeologus,honour,opinions,felt,human,habits,civil,miles,slain,popular,soldiers,field,soon,lower,rome,europe,son,virtue,peculiar,gold,andronicus,empire,years,master,proconsul
17,lessons,honourable,government,brother,brethren,important,emperor,doctrine,christ,distance,seldom,arts,war,silver,state,zeal,obedience,laws,pope,provided,subjects,rome,thousand,formed,republic,military,egypt,sufficient,year,happiness,walls,dandolo,augustus,evidence,solemn,borysthenes,faithful,son,discord,proceeds,michael,constantinople,avars,theodosius,calamities,reign,policy,character,thirty,new,arms,slaves,smiled,assembly,public,female,holy,respectful,extravagancies,pious,prince,merit,claudian,city,sacred,face,expressed,father,days,danger,battle,arms,turkish,africa,general,prepared,authority,majesty,emperor,millions,seven,accomplices,art,siege,passions,court,strength,death,revelation,public,state,patriarch,object,king,battle,brother,city,religion,constantine,treason
18,nations,narses,provinces,provinces,said,africa,predecessors,disciples,private,garrison,thousand,present,son,end,moguls,city,capitol,narses,city,affected,religion,barbarians,price,ancient,frequent,important,office,west,thirty,life,revenge,valour,provinces,partly,celestial,idiom,day,italy,causes,northern,left,peace,sale,egypt,abbassides,honour,votes,civil,person,maximian,civil,weakness,hand,philosophers,camp,religion,high,reindeer,induced,religion,reign,long,city,subjects,son,single,government,new,ground,objects,sufficient,turks,latin,reign,conquerors,nations,king,society,adopted,tribute,royal,bell,situation,christians,praetor,empire,victory,sword,infinite,property,peace,persian,weight,choice,prince,conquest,massy,authority,death,carthage
19,life,people,distinguished,cavalry,city,body,works,rites,pleasure,luxury,mingrelia,death,children,england,condemned,goths,tyrant,memory,country,days,singular,received,applauded,avarice,appeared,life,soon,enemies,prince,procured,conqueror,sultan,italy,assyrians,sovereign,service,caliph,king,constantinople,river,marbles,love,price,aleppo,months,purple,maintained,long,capital,nisibis,weight,hand,antioch,dignity,passed,long,glory,cause,undertook,gregory,rome,africa,new,manners,citizen,humanity,emperor,pencil,precious,property,enemy,alliance,holy,successors,emperors,numerous,navy,infinite,savage,inhabitants,hope,subsequent,maritime,second,soldiers,camp,spirit,kings,consequences,legal,war,death,ages,seven,men,asia,villas,dangerous,long,cyprian
20,period,religion,persian,ravenna,people,light,great,pagan,natural,vessels,fields,peace,according,obtained,emperor,anastasius,aurelian,family,reign,province,soon,republic,example,gold,arts,passions,city,fall,reduced,british,throne,inhabitants,regular,branch,justice,world,soldiers,hereditary,united,danube,materials,army,persia,province,misfortunes,time,genoese,merit,hands,conquest,koran,government,fame,government,advanced,goths,danube,substance,grateful,latin,imperial,europe,christians,freedom,goods,unknown,haughty,camps,hills,genius,death,instead,policy,vandals,emperor,ditch,language,reign,prince,world,ancient,sacred,desert,complete,magistrates,charlemagne,cavalry,east,calvary,success,republic,emperors,century,union,justinian,sea,marble,zeal,theophilus,alexander
21,spirit,william,war,barbarian,son,valentinian,world,temples,philosophy,siege,power,laws,reign,portuguese,apostle,soon,constantius,danube,europe,great,syagrius,life,cities,barbarians,merit,vandals,religion,gates,life,circus,years,siege,assumed,citadel,east,thibaut,photius,ancient,world,nations,place,discipline,private,god,expense,god,seldom,purple,return,europe,luxury,conquest,time,archbishop,franks,inhabitants,useful,served,assist,creed,peaceful,laws,princes,army,augustus,rest,difference,people,brass,commerce,pronounced,elephants,second,province,germans,soon,number,sovereign,king,use,throne,florins,multitude,people,imperial,guards,banks,shall,mind,criminal,senate,church,pernicious,common,emperor,manuel,mount,general,throne,human
22,reason,country,narses,gothic,companions,country,subjects,gospel,understanding,barbarians,caucasus,city,future,thomas,soon,innocent,arian,virtues,private,justinian,pharas,timid,history,time,soon,guilty,honour,various,age,given,new,miles,romans,commanded,arms,excelled,till,distinction,supplied,produced,ecclesiastical,brother,sects,seven,bishop,heraclius,choice,justice,count,persians,isaurians,till,reign,pastoral,thousand,children,savages,senatorian,mankind,heresy,emperor,subjects,general,island,innocent,far,followers,ignorant,squadrons,ruins,walls,north,huniades,long,justinian,age,moors,city,required,christians,civil,applied,arms,delay,single,franks,romans,vitiges,writings,equal,earth,solemn,modern,crimes,romans,europe,restored,prince,prince,magnentius
23,disciples,men,mind,camp,desert,valerian,civil,law,frequently,war,circumcision,persia,constans,apulia,desertion,odoacer,like,country,weakness,riches,merit,passage,orestes,commodus,acquired,till,contained,citizens,till,commodus,prince,persuaded,constantinople,indulgence,barbarians,prelates,lost,independent,power,frontiers,race,authority,honours,long,tiberius,luxury,lands,sovereign,seven,siege,orchan,palace,respective,maximus,germany,dangerous,mecca,kobad,senses,constantinople,princes,history,cities,character,law,patriarch,period,face,mogul,example,success,west,laws,victorious,society,harbour,long,spirit,country,sum,gordian,highways,rocks,bordeaux,minister,service,formidable,fear,theology,arms,character,golden,cities,romans,military,royal,st,bishop,church,constans
24,style,sapor,spirit,death,koreish,danube,hadrian,heaven,man,rome,rite,monarchy,civil,reason,abbassides,jerusalem,victory,senate,received,sapor,hands,people,persia,materials,state,laws,artaxerxes,arabia,ancient,religion,standard,chosroes,accepted,malek,numbers,free,allies,according,oars,reason,public,empire,years,years,maria,basil,great,government,troops,thirty,luther,general,second,province,visigoths,julian,agriculture,orphan,vulgar,christ,provinces,nature,powerful,age,colonna,crimes,insensibly,odenathus,length,price,emperor,friendship,person,war,election,spirit,government,st,province,property,triumph,plebeian,egypt,rebel,empire,country,general,hungarians,sion,common,colonna,long,coast,legal,long,jerusalem,wars,king,guilt,society
25,times,deserved,virtues,important,death,years,maximian,church,present,euphrates,earth,greeks,constantius,imperial,tartar,arms,successors,age,abbot,romans,belisarius,death,just,age,philosopher,gold,bahram,south,soldiers,useful,soldiers,satraps,citizens,religious,days,crusade,syracuse,wales,light,favour,men,war,east,son,father,royal,tenth,private,hungary,gaul,reformers,long,sea,religion,barbarian,gates,alexander,war,tombs,monks,asia,people,history,romans,freedom,armies,sovereign,covered,coliseum,palace,far,years,greeks,civil,private,single,peace,exasperated,anthemius,citizens,service,church,soldiers,appear,provinces,narses,march,day,theologians,nature,life,ancient,common,servius,belisarius,latin,common,court,person,multitude
26,aristotle,sicily,ambition,milan,arabia,long,diocletian,temple,roman,ancient,religion,policy,favoured,king,thousand,reign,riches,justinian,constans,sea,world,hopes,pounds,thousand,service,subjects,alexandria,republic,senate,whilst,head,patiently,time,subject,provinces,novogorod,saxons,galerius,people,power,great,aurelian,truth,religion,son,vataces,cardinals,rank,arms,present,galerius,nation,knights,jurisdiction,empire,gothic,cities,augustus,profane,egypt,religion,manufactures,severus,enemies,art,human,house,resemblance,arms,men,longer,gold,throne,power,death,galleys,military,church,reduced,emperor,subjects,government,country,duke,emperor,constantinople,gothic,peace,athenian,bloody,long,persia,arts,capitation,victory,age,centuries,power,country,world
