,0,1,2,3,4,5,6,7,8,9
0,asia,persons,virtue,received,prayer,attack,arts,people,science,time
1,christian,long,sense,court,gold,bravest,capitol,conscience,princes,seven
2,duke,freedom,fifth,revenge,greeks,gothic,formed,disciples,long,number
3,sea,cause,east,constantius,camp,goths,left,person,various,power
4,title,east,fortune,danger,place,day,war,heresy,love,africa
5,john,council,celebrated,father,faith,soldiers,army,truth,according,military
6,head,emperors,practice,power,shall,ardour,soldiers,miracles,man,river
7,great,athanasius,world,head,companions,ditch,human,saints,passions,mountains
8,ambition,peace,anthemius,constantinople,abu,felt,length,churches,death,men
9,long,soon,mind,till,enemies,horses,strength,deity,ancient,far
10,country,death,state,gothic,desert,great,service,visible,son,fleet
11,land,churches,prince,constantine,seven,assault,general,gospel,freedom,constantinople
12,alexius,christianity,earth,julian,omar,strength,private,bishops,father,north
13,throne,office,monks,goths,caled,romans,provinces,greeks,genius,italy
14,brother,catholic,people,sovereign,horse,soon,distinguished,st,knowledge,land
15,city,episcopal,spirit,city,head,chiefs,principal,devotion,civil,banks
16,sword,spiritual,praise,camp,battle,camp,soon,law,society,europe
17,conquest,justice,arms,life,arabia,germans,thousand,son,spirit,danube
18,age,reign,united,senate,till,walls,augustus,images,use,tribes
19,father,senate,europe,east,brethren,single,civil,creed,language,goths
20,war,magistrates,country,peace,ali,advanced,place,jerusalem,virtues,conquest
21,kingdom,provinces,knowledge,reign,war,combat,discipline,nature,emperor,long
22,pope,new,princes,victory,christians,general,legions,synod,manners,people
23,royal,power,character,rome,days,thy,great,monks,arts,coast
24,st,civil,royal,long,sword,totila,number,spiritual,reason,soon
25,latin,religious,best,romans,holy,antioch,republic,new,julian,capital
26,prince,constantine,years,provinces,son,host,gold,pious,law,nations
27,byzantine,city,virtues,italy,people,victory,citizens,earth,time,years
28,holy,persecution,thousand,prince,caliphs,towers,diocletian,orthodox,government,asia
29,europe,faith,thirty,military,egypt,enemy,use,human,mankind,province
30,turks,empire,present,enemy,koran,rosamond,time,doctrine,constantine,walls
31,french,laws,light,palace,said,chief,emperor,heaven,merit,gold
32,italy,government,great,imperial,syria,bridge,power,patriarch,human,ancient
33,turkish,st,provinces,throne,apostle,gate,empire,years,subjects,romans
34,sultan,years,ancient,king,medina,country,multitude,jews,state,inhabitants
35,franks,public,constantinople,son,death,arms,emperors,reason,mind,rome
36,years,authority,shall,soldiers,damascus,valour,aurelian,world,people,new
37,princes,religion,genius,public,faithful,war,long,superstition,private,war
38,france,zeal,long,people,religion,success,city,zeal,virtue,miles
39,latins,christian,emperor,empire,moslems,barbarians,order,religious,world,provinces
40,second,bishop,christian,barbarians,arabian,death,arms,christian,character,great
41,empire,ecclesiastical,reign,arms,city,battle,temple,holy,reign,cities
42,arms,emperor,life,general,arabs,belisarius,romans,divine,years,arms
43,son,clergy,power,army,mecca,gepidae,military,worship,nature,roman
44,king,roman,merit,troops,saracens,companions,public,christians,roman,city
45,thousand,christians,rome,soon,prophet,city,ancient,religion,empire,barbarians
46,greek,bishops,roman,roman,god,thousand,senate,christ,laws,sea
47,greeks,people,justinian,war,caliph,lombards,people,god,public,empire
48,constantinople,rome,empire,death,thousand,roman,roman,church,life,country
49,emperor,church,age,emperor,mahomet,alboin,rome,faith,age,thousand
