,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,race,party,various,master,chief,military,length,catholics,experience,greeks,defence,weight,land,ambition,antioch,summons,church,criminal,valeria,enemy,country,vanity,time,order,state
1,learning,character,light,goths,women,numbers,according,mind,important,city,human,valour,government,noble,crusaders,fathers,received,policy,prayer,ancient,valour,repeated,nation,general,wealth
2,history,egypt,ambition,court,musulman,considerable,father,heresy,love,fleet,painful,soon,thirty,reign,france,voice,time,tribes,art,distance,race,life,period,emperors,long
3,king,alexandria,virtues,received,house,death,senate,disciples,soon,china,weapons,country,established,latins,cross,chrysostom,soon,various,divine,long,allies,wife,administration,age,ambassadors
4,times,number,asia,danger,camels,embraced,private,father,use,numbers,iberian,provinces,cities,birth,saladin,marcian,choice,adopted,land,galleys,emperor,caesar,marriage,country,revenue
5,emperor,cause,times,revenge,chiefs,horses,service,cause,imperial,formidable,blemmyes,constantinople,state,brothers,enemies,commodus,reign,throne,night,towers,victorious,persons,gelimer,death,precious
6,world,great,state,constantius,horse,constantinople,light,belief,law,thirty,nation,nations,armorica,byzantine,sea,cathedral,general,dissolved,hope,fortifications,power,placed,daughter,subjects,great
7,character,civil,skill,constantine,prayer,invincible,just,temporal,prince,land,armour,future,ii,youth,second,hand,various,barbarians,richard,emperor,conquerors,brothers,thousand,capitol,seven
8,knowledge,persons,character,power,life,conqueror,discipline,truth,education,persia,antiquity,reduced,tax,inheritance,sepulchre,anathema,praetorian,wife,monk,town,monarch,birth,court,peace,saracens
9,religion,justice,enemies,till,head,captive,laws,saints,various,germany,applaud,treaty,provincials,crown,count,zeal,like,age,greeks,assault,public,king,romans,cities,conquest
10,science,catholics,truth,father,enemies,defence,formed,idolatry,philosophy,far,bow,lives,corn,new,moslems,soon,successors,permitted,god,river,laws,sons,throne,wealth,thirty
11,long,new,genius,person,days,egypt,hadrian,greeks,society,nation,ordinary,life,magistrates,elder,years,empire,number,death,great,vessels,romans,reign,church,slaves,byzantine
12,normans,provinces,body,reign,shall,strength,place,miracles,truth,new,earth,principal,honorius,great,royal,roman,right,honour,mount,strength,government,long,gothic,thousand,god
13,war,magistrates,fall,peace,battle,valour,seldom,pious,civil,military,sarmatians,title,reign,mother,crusade,day,authority,gothic,pious,general,ambition,father,victorious,senators,basil
14,arts,sentence,obscure,head,syria,banks,equal,catholic,man,river,use,age,italy,succession,father,orthodox,world,exercise,human,left,reign,suspicion,till,authority,justinian
15,great,council,glory,city,brethren,labour,day,gospel,happiness,number,ancient,command,dioceses,sicily,nice,monks,father,senator,years,passage,soon,sebastocrator,soon,time,sea
16,state,empire,order,senate,desert,princes,spirit,devotion,government,power,exercise,enemies,capitation,brother,john,antioch,imperial,judge,hermit,covered,independent,gallienus,nations,emperor,patriarch
17,century,soon,cavalry,julian,faith,labours,various,new,knowledge,long,war,soldier,wales,imperial,head,provinces,administration,life,feet,retreat,war,ariadne,west,magistrates,christian
18,new,archbishop,exercised,east,koreish,claudius,citizens,bishops,philosopher,emperor,serapis,patriarch,subject,greek,war,monophysites,vices,aid,heart,garrison,gothic,majesty,hands,use,church
19,foreign,rome,years,life,omar,battle,time,earth,art,army,euxine,state,numerous,pope,palestine,council,consulship,new,received,roman,kings,sovereign,emperors,property,annual
20,national,government,death,italy,war,emesa,virtue,visible,manners,inhabitants,practise,authority,prefects,roman,pilgrims,blood,title,assembly,eyes,days,burgundians,holy,imperial,capital,east
21,spirit,orthodox,people,rome,sword,sword,number,heaven,time,years,mouth,domestic,time,heir,conquest,exile,office,justice,dome,victory,nations,senate,goths,peter,silk
22,manners,holy,shall,camp,companions,great,age,son,genius,coast,single,camp,military,purple,princes,communion,augustus,single,moment,army,conquest,husband,peace,church,roman
23,merit,authority,troops,sovereign,caliphs,expedition,legions,years,passions,mountains,jews,art,pounds,age,latin,pertinax,ancient,public,ye,justinian,germany,grecian,palace,gold,till
24,thousand,spiritual,new,king,city,firmus,temple,spiritual,arts,ancient,posterity,germans,proportion,king,knights,theodosius,acknowledged,hand,blood,inhabitants,spirit,conveyed,rome,power,faithful
25,second,years,independent,provinces,holy,walls,law,gods,reason,men,tradition,private,millions,isaac,brother,death,great,athens,sins,seven,barbarian,pope,zoe,nobles,age
26,arms,churches,knowledge,victory,arabia,thou,distinguished,deity,subjects,romans,wine,cruelty,rome,greeks,death,new,capital,liberty,priest,barbarians,rhine,thousand,singular,years,capital
27,west,laws,constantinople,romans,said,restored,augustus,images,people,banks,danube,varangians,western,alexius,arms,nestorians,justice,king,peter,land,vandals,rome,constantinople,justice,reign
28,latins,death,theodosius,long,death,soon,arts,law,state,conquest,strangers,defeat,saxon,younger,mahomet,east,long,conduct,lance,greeks,national,roman,gainas,pope,greek
29,charlemagne,catholic,conduct,palace,people,syria,wild,nature,constantine,province,nile,greeks,inhabitants,john,franks,dioscorus,emperors,rome,europe,gates,nation,electors,genseric,ancient,days
30,french,roman,princes,son,abu,arms,civil,holy,merit,troops,cities,troops,prefect,constantine,christian,claudius,election,cases,christ,soldiers,spain,odenathus,world,private,holy
31,byzantine,athanasius,mind,throne,caled,emperor,republic,zeal,emperor,europe,quiver,courage,tribute,throne,ottoman,egyptians,merit,nation,pope,harbour,goths,seven,age,empire,emperor
32,germany,public,merit,prince,damascus,country,state,jews,mankind,tribes,days,general,citizens,royal,kingdom,church,civil,arms,mind,defence,arms,rank,east,citizens,tribute
33,ancient,episcopal,great,military,son,army,arms,human,private,miles,short,death,public,marriage,king,throne,public,till,long,capital,visigoths,princes,power,republic,caliph
34,nations,people,thousand,enemy,ali,soldiers,life,orthodox,virtues,north,peculiar,nation,number,sons,son,jacobites,virtues,lombards,count,camp,long,person,death,new,people
