,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,celebrated,constantine,friendship,gaul,abdallah,provinces,princes,holy,passions,camp,god,italians,recalled,fortune,accepted,reign,free,suevi,soul,ephesus,enemy,levity,emperors,religion,east,ignorance,great,age,abandoned,innumerable,holy,period,porticoes,nice,crown,decline,island,birth,years,zeal,devotion,unwilling,return,history,daughter,remorse,mankind,command,defence,philip
1,gaul,magistrate,poverty,tigris,abubeker,chiefs,laws,moses,reign,ocean,strength,influence,great,virtue,subjects,shall,new,leader,victory,long,city,secret,lost,art,annual,italy,john,thomas,arts,whilst,sword,brother,state,exile,place,different,weight,ancient,sepulchre,native,command,foot,exile,time,andronicus,revenge,glory,city,deliverance,lost
2,curiosity,subjects,schools,thousand,infidels,labours,religion,heretics,happiness,vessels,industry,provinces,lewis,heir,thirty,years,manners,honour,marseilles,monarch,second,maximus,peace,jerusalem,palace,restored,nature,portuguese,religion,rome,turkish,body,labour,theological,army,henry,army,private,latins,church,celebrated,peace,virtues,ottoman,long,zoe,love,spirit,military,defence
3,dialect,popes,exercised,city,tribes,glory,kings,perfect,death,new,service,khan,freedom,series,choice,satisfaction,civil,inhabitants,reason,deputies,monarch,guilt,various,materials,africa,annals,emperors,babylon,order,adapted,siege,crime,far,schism,war,denmark,important,servants,vassals,truth,court,public,humble,ancient,enemies,condemned,curiosity,age,just,spain
4,greeks,bishop,prince,friendship,tribe,decisive,barbarians,miracles,various,men,new,form,island,bestowed,conjugal,justice,according,right,france,thirty,burgundy,holy,human,general,faithful,civil,hope,siege,successors,north,standard,virtue,reduced,synods,eyes,europe,head,easy,marquis,frequently,small,romans,palestine,soldiers,society,received,modern,danger,pride,rampart
5,art,assumed,education,years,sword,infantry,time,person,philosopher,west,narrow,march,court,western,native,pleasure,interdict,alemanni,bishop,throne,public,ambassadors,justinian,saxons,government,rapid,martial,reverence,progress,magnificent,soon,soon,image,persecution,celestial,obscure,capitation,commons,land,long,pounds,powers,timasius,days,maria,civil,eloquence,merit,zeal,men
6,human,honours,general,general,amrou,military,augustus,gnostics,pagan,valour,custom,valour,victory,sicily,merit,general,armies,food,pope,manners,age,poet,prince,government,state,literature,order,splendid,important,weakness,byzantine,canoes,country,chalcedon,freedom,empire,nation,weight,war,republic,clergy,second,favourite,saladin,received,bishop,character,government,domestic,bajazet
7,france,city,guilt,royal,chief,discipline,domestic,substance,truth,nation,numerous,strong,years,dignity,children,hands,granted,rich,barlaam,religion,savage,sword,blood,citizens,people,royal,ancient,maronites,multitude,youth,battle,constantine,greatness,controversy,guilt,grandson,hope,new,colonna,expression,parthian,unfortunate,command,public,reign,john,dignity,prefect,obtained,ambition
8,western,justice,subjects,great,enthusiasm,victories,introduced,idolatry,man,capital,camps,constantine,army,royal,daughter,rienzi,just,pavia,religious,st,royal,public,nations,common,amurath,work,distinct,real,general,monarchy,left,features,forum,cause,youth,life,julian,common,naples,precious,military,formidable,common,national,alexander,private,prosperity,east,master,king
9,ignorance,peace,favourite,barbarian,battle,victory,war,conversion,subjects,africa,unite,arts,kings,illustrious,civil,state,wealth,passed,eyes,example,reason,attempted,destitute,soon,new,god,arts,arts,east,provinces,horse,world,capital,prelates,long,pagans,city,honour,courtenay,proof,splendour,roman,children,seven,great,throne,rhetoric,tyrant,theodosius,adjacent
10,thousand,years,great,important,men,soon,various,earth,sacred,long,legions,danube,pounds,young,bed,greens,law,senator,confined,pontus,arms,lawful,singular,years,greeks,para,numerous,considerable,army,celebrated,new,secret,architecture,throne,days,arms,aid,use,venice,adolphus,easy,lombard,roman,just,general,royal,pleasure,master,head,great
11,country,reign,vices,valour,egypt,day,prudence,heaven,practice,far,covered,powers,ceremony,new,ayesha,successor,mind,general,visible,advanced,year,life,exercise,injury,saracens,eloquence,love,time,long,britain,enemies,bed,use,union,monarch,fame,empire,language,england,remarkable,ancient,till,hopes,victorious,peace,theodosius,business,authority,luxury,engines
12,schools,republic,secret,athanasius,prayer,numbers,provinces,century,temples,army,equally,power,soldiers,birth,laws,radagaisus,athens,cases,language,spirit,constantinople,monarchy,constantinople,persons,nile,superior,extraordinary,syriac,senate,dances,turks,time,private,bishop,friend,human,reign,plebeian,sicily,encircled,joseph,senate,synagogue,zingis,passion,pious,nature,person,court,valour
13,long,new,arts,head,holy,frontier,emperors,devout,time,romans,rivers,europe,spirit,life,gauls,character,various,cattle,valeria,sea,throne,solemn,throne,age,greek,romans,men,republic,provinces,indignation,walls,ruric,new,west,mind,eleventh,considerable,diocletian,peter,gold,subjects,city,christian,soliman,reduced,justice,truth,long,italians,auvergne
14,times,policy,christian,troops,shall,considerable,power,paul,temple,vandals,exercise,tartars,safety,caesar,love,great,luxury,fortifications,age,flaminian,superior,thirteen,prudence,exposed,christians,applied,ample,mankind,different,life,st,mind,arches,antioch,sophist,saxon,lands,poverty,baldwin,reason,reign,sovereign,future,mousa,longer,wife,people,conduct,second,times
15,barbarians,successors,chrysostom,camp,days,far,romans,christianity,private,ancient,prayer,subject,hand,children,sentence,senators,measure,injuries,abbot,nature,enemies,cities,work,death,death,equal,person,soil,soon,manners,service,prince,stately,religion,justice,missionaries,alexandria,arms,guiscard,falls,time,free,years,throne,empress,ministers,laws,secret,heard,military
16,manners,christian,state,victory,brethren,thousand,appeared,temporal,god,nations,law,people,fame,wife,youth,deserved,arnold,deserved,progress,gold,empire,palace,gainas,example,religion,nature,laws,province,arms,intercourse,royal,age,people,people,antonina,north,reason,servile,great,use,citizens,empire,temple,long,faithful,husband,arts,justice,horses,success
17,philosophy,emperor,people,reign,son,retreat,ancient,belief,use,troops,water,nation,soon,youth,state,faction,feet,time,battle,province,private,constantine,east,far,great,lascaris,received,king,manners,displayed,long,revolutions,ruins,arian,roman,perpetuate,ancient,according,st,following,shiracouh,athanasius,dignity,conquest,bishop,character,employed,private,did,soldiers
18,present,order,asia,enemy,place,gothic,virtue,jesus,zeal,mountains,coarse,khans,mighty,husband,savages,stilicho,government,death,eloquence,land,sense,supreme,virtue,wealth,bagdad,useful,troops,virtue,sufficient,received,soldiers,novogorod,brass,christ,instead,merit,defence,plebeians,latin,plundered,wine,hand,votaries,asia,family,merit,great,civil,ground,emperor
19,history,provinces,numbers,prince,people,banks,reign,body,ancient,tribes,according,ancient,athens,great,armies,pertinax,till,decius,open,garrison,new,theme,times,cities,life,virtue,use,increase,rapid,dacia,second,north,public,religious,general,embellished,limigantes,domestic,second,emperor,seleucia,disgrace,prince,provinces,pharas,son,society,arms,shall,europe
20,arts,princes,constantinople,armenia,desert,camp,peace,superstition,empire,river,sheep,peace,athenians,constantius,nature,soon,extortion,danube,received,way,race,summon,subject,barbarians,race,progress,logos,peace,age,age,roman,longer,lofty,christian,constantinople,lateran,province,strength,age,supported,number,rome,strangers,chiefs,common,power,country,father,palace,ladders
