,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,simple,number,character,days,ignorant,cities,tables,soul,history,strength,second,patriotism,general,long,hungarian,subjects,degrees,received,provinces,african,dignity,content,imperial,revenue,imposed,ornaments,voice,osrhoene,troops,directed,battle,emaciated,column,old,holy,nature,march,entered,neighbourhood,described,portuguese,musulmans,oppression,temples,scattered,imperial,elagabalus,great,speedily,st,soon,subjects,abandoned,latins,legions,war,instead,spirit,esteem,clergy,adopted,filled,jurisprudence,necessary,cause,fortress,throne,passed,death,patient,capable,monarch,second,strength,foot
1,experience,rome,best,banks,avarice,rich,caledonia,men,business,people,cheerfully,world,ancient,great,valour,obtained,parents,resentment,clairvaux,cattle,justinian,materials,rich,nations,rich,work,appeared,fertility,public,subject,danger,sentence,throne,michael,end,represented,senate,civil,soliman,ancient,seleucia,abuse,constantius,practice,person,state,applause,ambition,holy,princes,thousand,conquest,easy,square,visigoths,life,antoninus,lines,flattery,famine,raised,provinces,nations,army,posterity,obtained,indulged,countrymen,china,supplied,british,cities,received,provinces,use
2,son,civil,subject,advanced,possessed,sacred,common,greek,devotion,kingdom,emesa,generosity,recared,end,till,years,sisters,person,cantacuzene,justinian,love,wool,valentinian,manners,luxury,general,long,province,victory,glory,hand,justice,original,multitude,appeared,soldier,roman,caesar,lawful,song,africa,throne,spirit,stately,world,son,station,military,head,walls,like,monarchy,alboin,africa,attention,alexander,justinian,fortress,grateful,brethren,alexander,reduced,great,sovereign,religion,conquest,similar,public,courage,children,crown,bestowed,long,city,city
3,western,devotion,years,long,state,deserted,circus,mind,roman,formidable,approach,peace,station,boy,john,troops,residence,death,diocletian,death,gelimer,master,faithful,place,country,doors,government,rivers,ambition,majorian,new,season,announced,hatred,multitude,residence,new,occasion,people,safe,son,east,single,miles,palace,virtues,father,conduct,fathers,ambition,lives,national,aquileia,like,numerous,empires,west,fatal,occupy,monophysite,italy,marched,gaul,death,presence,power,vandals,victory,france,appetite,deep,magnificent,tacitus,command,partial
4,jaxartes,heretics,times,till,justice,colours,multitude,unity,familiar,mount,fulk,time,public,europe,king,silver,domestic,enemy,nations,public,caesars,danielis,splendid,mankind,africa,weakness,office,aqueducts,princes,magistrates,revenge,longer,great,according,epistle,exhausted,bloody,object,imperial,warlike,st,want,age,pieces,escaped,inhuman,papinian,tyrant,inflamed,asia,protected,arms,lover,right,success,splendid,blues,tent,assist,spirit,caesars,number,italy,moment,hand,nile,christian,minds,according,circumstances,severus,nature,holy,stilicho,proportion
5,boccace,conversion,praise,strength,long,splendid,province,person,years,harbour,augustus,governor,prince,crown,constantine,accompanied,state,suevi,civil,barbarians,religion,alps,armenian,discipline,private,far,present,master,europe,inferior,walls,place,title,favour,cause,germans,standard,patrimony,abu,igor,mecca,considerable,reign,marble,greens,church,knowledge,honours,ground,army,citizens,sword,soul,altar,sufficient,romans,greens,yield,engaged,heraclius,mind,moment,emperor,hands,expense,apostle,heresy,superior,monuments,great,power,extraordinary,power,conquest,east
6,justinian,empire,maurice,city,mankind,power,man,language,curiosity,naval,vow,faith,hands,count,god,religious,power,brother,cities,extent,injustice,thebes,spirit,primitive,solid,service,gratitude,princes,baptism,servants,royal,public,provinces,strangers,christ,freedom,power,ambition,constantinople,soon,trade,weight,capitol,days,away,miles,time,favour,gold,long,gradually,pontiff,death,general,body,expression,title,displayed,albinus,cairo,father,sea,magistrate,boldly,service,eugenius,peace,poitiers,days,law,just,solemn,content,retreat,romans
7,valerian,magistrates,enemies,euphrates,history,century,spirit,invisible,schools,power,soldiers,violated,proportion,elder,daughter,pavia,german,abandoned,new,horses,derived,founded,arts,passions,land,spirit,freedom,longer,ignorant,occasions,greeks,common,general,presbyter,bishop,valour,success,state,sicily,assumed,period,diligence,king,new,contained,employed,rank,state,hands,roman,rank,christian,hand,jupiter,conduct,fatal,use,valour,severus,clovis,praetorian,service,consuls,constantius,honorius,dominion,semi,fortune,race,discharge,africa,just,natural,discipline,french
8,gradually,secret,pandects,legions,discipline,obtained,sun,antiquity,athens,danube,subjects,fame,freedom,vices,kingdom,prince,impatient,public,eyes,number,singular,sicily,virtues,christian,treasury,dome,world,wealth,son,pleasure,religion,sclavonian,public,power,cappadocia,years,country,equally,cases,province,ephesus,subjects,war,age,private,zingis,throne,youth,second,hands,virtue,war,walls,visible,left,reformation,virtues,comneni,man,cities,princes,weight,princes,service,property,life,silver,country,people,sufficient,pirates,pride,attalus,honorius,bosphorus
9,mind,cause,extended,roman,wealth,towers,elegant,sublime,superstition,military,age,solicited,inhabitants,soon,said,foreign,thousand,delivered,human,strong,mind,caliphs,son,egypt,day,rome,city,fall,foot,antioch,st,private,venerable,general,devotion,power,conduct,acquired,person,military,gold,kings,arms,seven,staircase,magistrate,great,merit,egypt,toledo,caaba,public,instead,gospel,odoacer,state,ambition,ducas,field,greeks,hadrian,supply,arts,lost,new,signal,private,imputed,palace,thousand,conquest,emesa,father,peace,sovereign
10,ancient,laws,independent,success,god,virtues,considered,simple,subjects,tribes,sensual,romans,ambition,power,domestic,unfortunate,provinces,timour,ancient,cultivation,perpetual,china,mankind,use,magnificence,public,memory,monks,crowd,east,empire,provinces,world,churches,engaged,established,empire,reign,soldiers,subdued,united,new,eunuchs,walls,title,poverty,little,wife,troops,romans,considered,nations,province,religion,franks,trajan,danger,thousands,arles,aethiopia,power,thy,administration,age,clergy,terminated,nations,superstition,kingdom,order,habits,immediate,time,attila,science
11,banks,authority,virtues,armenia,military,acquired,military,holy,philosophers,banks,land,render,praetorian,authority,city,confidence,title,rome,divine,emperor,people,spirit,soon,justice,till,loss,laws,obtained,fortune,peace,peace,secure,features,city,genius,barbarians,recent,gepidae,greek,haemus,manufactures,fatal,prince,equal,games,days,induced,marriage,christians,shall,prince,title,troops,silent,considerable,glory,gold,hardships,hopes,sepulchre,new,syria,introduced,spain,art,sentence,use,troops,spirit,hands,hypothesis,syria,support,franks,death
12,learning,egypt,human,monarch,treasure,party,honours,mosaic,study,river,offence,friends,theodosius,emperors,europe,age,authority,justice,character,kingdom,authority,gold,naples,common,treasures,thousand,medina,world,command,laws,reign,emperor,pencil,christianity,considered,thirty,arms,easy,naval,men,supply,age,city,arabian,near,eutropius,emperor,laws,world,adjacent,god,state,guards,idols,length,power,weakness,marshal,philosophy,country,domitian,harbour,general,justinian,severity,victorious,supported,distracted,composed,oxen,numerous,arms,court,africa,salic
13,princes,arian,royal,head,purple,people,number,temporal,language,long,citizens,century,virtues,confession,brother,respect,love,moguls,church,arabs,reason,age,earth,till,industry,second,prepared,thousand,age,oppression,victory,seven,dignity,return,cross,discovered,christians,britain,bari,horse,people,poet,ancient,roman,new,guards,talents,purple,place,victory,simple,religion,senate,brass,years,wild,conduct,cage,opinion,christians,considered,scarcely,privileges,head,long,crowd,genseric,nation,war,climate,cannon,eye,arms,march,benefits
14,china,world,faithful,imperial,prefect,iron,considerable,belief,derived,ships,occasion,order,moment,zeal,soldier,death,treated,war,soul,roman,till,rome,lost,country,great,capitulation,ambition,adjacent,service,age,camp,country,clement,allowed,people,believed,aurelian,time,son,banks,antiquity,multitude,friend,rome,acclamations,dangerous,received,sovereign,victory,son,reason,prince,discovered,heads,arts,arms,michael,empire,shall,latin,invested,nations,reign,considerable,century,father,iron,soon,general,multitude,west,present,law,huns,senator
15,distinguished,sect,private,battle,christian,battle,science,perfect,education,huns,champagne,simple,charlemagne,normans,sons,benefits,world,throne,freedom,avitus,honoria,latin,private,fifth,thirty,feet,secret,distant,years,offices,mahomet,city,authority,numerous,labarum,tribes,tribonian,triumph,roman,march,ancient,lombards,provinces,greeks,sons,father,severus,general,nestorius,synod,instituted,foreign,nation,precepts,time,military,senate,numbers,genius,egyptian,world,world,long,western,person,fear,second,young,scanderbeg,according,holy,deity,emperors,long,kings
16,time,pagans,mind,river,rival,throne,picts,orthodox,manners,mountains,princes,gratitude,government,senate,despot,hero,age,military,blood,provinces,prince,religion,age,good,caliph,thou,hope,public,france,cities,enemy,france,eyes,robert,passed,war,lombards,nation,prince,gold,ruins,death,holy,brethren,augustus,royal,glory,title,alexandria,rome,national,europe,resolved,abandoned,germany,troops,enemies,body,virtues,long,acknowledged,times,augustus,usurper,marriage,applied,enemies,voice,discipline,walls,blood,nations,death,alaric,horses
17,common,roman,thousand,death,confirmed,war,britain,son,various,italy,jerusalem,preserved,taxes,east,vizir,history,romans,period,age,soldiers,history,price,province,christians,roman,death,brother,right,character,country,sword,age,election,ancient,death,kings,civil,honour,sea,borysthenes,reign,fortune,exile,constantinople,tyrant,civil,soon,family,bishop,greek,moses,throne,chiefs,churches,age,long,administration,employed,walls,zeal,constantius,barbarians,manners,reign,ambrose,human,war,constantine,ancient,perisabor,covered,antioch,sons,empire,days
18,century,toleration,state,received,humanity,lombards,palace,jesus,experience,inhabitants,holy,good,imperial,city,demetrius,events,daughter,inflicted,christian,sword,romans,free,time,sword,arabs,husbands,john,subjects,numbers,government,throne,dwelt,liberius,clergy,heard,superior,cross,city,galleys,assembled,power,son,received,magnificence,army,roman,lands,character,empire,pride,legal,language,strength,use,ravenna,amphitheatre,years,iron,arms,natives,provinces,thousand,city,imperial,justice,dwelt,resentment,victorious,field,tartars,roman,peace,merit,soon,seven
19,soon,alexandria,christian,provinces,mahmud,zeal,courage,eternal,virtues,years,power,salutary,constantius,roman,second,order,court,tripoli,prince,italy,great,christian,alexius,conquest,sum,colchos,confirmed,gradually,knight,manners,life,reign,college,gospel,public,antonines,constantine,christianity,private,heroes,number,prince,years,cufa,greeks,capital,man,long,arms,bajazet,abuse,union,power,naked,lombards,occasion,court,alaric,manners,hope,severus,italy,dignity,power,church,theodosius,received,holy,horse,life,war,sacred,clergy,field,danger
