,level_0,index,StringText,Titles
0,0,ch01pa01,"
Introduction
In the second century of the Christian era, the empire of Rome comprehended the fairest part of the earth, and the most civilised portion of mankind.
The frontiers of that extensive monarchy were guarded by ancient renown and disciplined valour.
The gentle, but powerful, influence of laws and manners had gradually cemented the union of the provinces.
Their peaceful inhabitants enjoyed and abused the advantages of wealth and luxury.
The image of a free constitution was preserved with decent reverence.
The Roman senate appeared to possess the sovereign authority, and devolved on the emperors all the executive powers of government.
(A.D. 98-180)
During a happy period of more than fourscore years, the public administration was conducted by the virtue and abilities of Nerva, Trajan, Hadrian, and the two Antonines.
It is the design of this and of the two succeeding chapters, to describe the prosperous condition of their empire; and afterwards, from the death of Marcus Antoninus, to deduce the most important circumstances of its decline and fall: a revolution which will ever be remembered, and is still felt by the nations of the earth.
",The Extent and Military Force of the Empire in the Age of the Antonines
1,39,ch02pa01,"
Principles of government.
It is not alone by the rapidity or extent of conquest that we should estimate the greatness of Rome.
The sovereign of the Russian deserts commands a larger portion of the globe.
In the seventh summer after his passage of the Hellespont, Alexander erected the Macedonian trophies on the banks of the Hyphasis.
Within less than a century, the irresistible Zingis, and the Mogul princes of his race, spread their cruel devastations and transient empire from the sea of China to the confines of Egypt and Germany.
But the firm edifice of Roman power was raised and preserved by the wisdom of ages.
The obedient provinces of Trajan and the Antonines were united by laws and adorned by arts.
They might occasionally suffer from the partial abuse of delegated authority; but the general principle of government was wise, simple, and beneficent.
They enjoyed the religion of their ancestors, whilst in civil honours and advantages they were exalted, by just degrees, to an equality with their conquerors.
","Of the Union and Internal Prosperity of the Roman Empire, in the Age of the Antonines"
2,71,ch03pa01,"
Idea of a monarchy.
The obvious definition of a monarchy seems to be that of a state, in which a single person, by whatsoever name he may be distinguished, is entrusted with the execution of the laws, the management of the revenue, and the command of the army.
But unless public liberty is protected by intrepid and vigilant guardians, the authority of so formidable a magistrate will soon degenerate into despotism.
The influence of the clergy, in an age of superstition, might be usefully employed to assert the rights of mankind; but so intimate is the connection between the throne and the altar, that the banner of the church has very seldom been seen on the side of the people.
A martial nobility and stubborn commons, possessed of arms, tenacious of property, and collected into constitutional assemblies, form the only balance capable of preserving a free constitution against enterprises of an aspiring prince.
","Of the Constitution of the Roman Empire, in the Age of the Antonines"
3,108,ch04pa01,"
Indulgence of Marcus
The mildness of Marcus, which the rigid discipline of the Stoics was unable to eradicate, formed, at the same time, the most amiable, and the only defective, part of his character.
His excellent understanding was often deceived by the unsuspecting goodness of his heart.
Artful men, who study the passions of princes and conceal their own, approached his person in the disguise of philosophic sanctity, and acquired riches and honours by affecting to despise them.
His excessive indulgence to his brother, his wife, and his son, exceeded the bounds of private virtue, and became a public injury, by the example and consequences of their vices.
","The cruelty, follies, and murder of Commodus Election of Pertinax his attempts to reform the State his assassination by the Praetorian Guards"
4,138,ch05pa01,"
Proportion of the military force, to the number of the people
The power of the sword is more sensibly felt in an extensive monarchy than in a small community.
It has been calculated by the ablest politicians that no state, without being soon exhausted, can maintain above the hundredth part of its members in arms and idleness.
But, although this relative proportion may be uniform, its influence over the rest of the society will vary according to the degree of its positive strength.
The advantages of military science and discipline cannot be exerted, unless a proper number of soldiers are united into one body, and actuated by one soul.
With a handful of men, such an union would be ineffectual; with an unwieldy host, it would be impracticable; and the powers of the machine would be alike destroyed by the extreme minuteness, or the excessive weight, of its springs.
To illustrate this observation we need only reflect that there is no superiority of natural strength, artificial weapons, or acquired skill, which could enable one man to keep in constant subjection one hundred of his fellow-creatures: the tyrant of a single town, or a small district, would soon discover that an hundred armed followers were a weak defence against ten thousand peasants or citizens; but an hundred thousand well-disciplined soldiers will command, with despotic sway, ten millions of subjects; and a body of ten  or fifteen thousand guards will strike terror into the most numerous populace that ever crowded the streets of an immense capital.
","Public sale of the empire to Didius Julianus by the Praetorian Guards Clodius Albinus in Britain, Pescennius Niger in Syria, and Septimius Severus in Pannonia, declare against the murderers of Pertinax Civil wars, and victory of Severus over his three rivals Relaxation of discipline New maxims of government"
5,174,ch06pa01,"
Greatness and discontent of Severus
The ascent to greatness, however steep and dangerous, may entertain an active spirit with the consciousness and exercise of its own powers: but the possession of a throne could never yet afford a lasting satisfaction to an ambitious mind.
This melancholy truth was felt and acknowledged by Severus.
Fortune and merit had, from an humble station, elevated him to the first place among mankind.
He had been all things, as he said himself, and all was of little value.
Distracted with the care, not of acquiring, but of preserving, an empire, oppressed with age and infirmities, careless of fame, and satiated with power, all his prospects of life were closed.
The desire of perpetuating the greatness of his family was the only remaining wish of his ambition and paternal tenderness.
",The death of Severus Tyranny of Caracalla Usurpation of Macrinus Follies of Elagabalus Virtues of Alexander Severus Licentiousness of the army General state of the Roman Finances
6,230,ch07pa01,"
The apparent ridicule
Of the various forms of government which have prevailed in the world, an hereditary monarchy seems to present the fairest scope for ridicule.
Is it possible to relate without an indignant smile, that, on the father's decease, the property of a nation, like that of a drove of oxen, descends to his infant son, as yet unknown to mankind and to himself, and that the bravest warriors and the wisest statesmen, relinquishing their natural right to empire, approach the royal cradle with bended knees and protestations of inviolable fidelity?
Satire and declamation may paint these obvious topics in the most dazzling colours, but our more serious thoughts will respect a useful prejudice, that establishes a rule of succession, independent of the passions of mankind; and we shall cheerfully acquiesce in any expedient which deprives the multitude of the dangerous, and indeed the ideal, power of giving themselves a master.
","The elevation, and tyranny, of Maximin Rebellion in Africa and Italy, under the authority of the Senate Civil Wars and Seditions Violent Deaths of Maximin and his Son, of Maximus and Balbinus, and of the three Gordians Usurpation and Secular Games of Philip"
7,266,ch08pa01,"
The barbarians of the East and of the North
Whenever Tacitus indulges himself in those beautiful episodes, in which he relates some domestic transaction of the Germans or of the Parthians, his principal object is to relieve the attention of the reader from a uniform scene of vice and misery.
From the reign of Augustus to the time of Alexander Severus, the enemies of Rome were in her bosom — the tyrants, and the soldiers; and her prosperity had a very distant and feeble interest in the revolutions that might happen beyond the Rhine and the Euphrates.
But, when the military order had levelled in wild anarchy the power of the prince, the laws of the senate, and even the discipline of the camp, the barbarians of the North and of the East, who had long hovered on the frontier, boldly attacked the provinces of a declining monarchy.
Their vexatious inroads were changed into formidable irruptions, and, after a long vicissitude of mutual calamities, many tribes of the victorious invaders established themselves in the provinces of the Roman empire.
To obtain a clearer knowledge of these great events we shall endeavour to form a previous idea of the character, forces, and designs of those nations who avenged the cause of Hannibal and Mithridates.
",Of the State of Persia after the Restoration of the Monarchy by Artaxerxes
8,287,ch09pa01,"
The government and religion of Persia have deserved some notice from their connection with the decline and fall of the Roman empire.
We shall occasionally mention the Scythian or Sarmatian tribes, which, with their arms and horses, their flocks and herds, their wives and families, wandered over the immense plains which spread themselves from the Caspian Sea to the Vistula, from the confines of Persia to those of Germany.
But the warlike Germans, who first resisted, then invaded, and at length overturned, the Western monarchy of Rome, will occupy a much more important place in this history, and possess a stronger, and, if we may use the expression, a more domestic, claim to our attention and regard.
The most civilised nations of modern Europe issued from the woods of Germany, and in the rude institutions of those barbarians we may still distinguish the original principles of our present laws and manners.
In their primitive state of simplicity and independence, the Germans were surveyed by the discerning eye, and delineated by the masterly pencil, of Tacitus, the first of historians who applied the science of philosophy to the study of facts.
The expressive conciseness of his descriptions has deserved to exercise the diligence of innumerable antiquarians, and to excite the genius and penetration of the philosophic historians of our own times.
The subject, however various and important, has already been so frequently, so ably, and so successfully discussed,  that it is now grown familiar to the reader, and difficult to the writer.
We shall therefore content ourselves with observing, and indeed with repeating, some of the most important circumstances of climate, of manners, and of institutions, which rendered the wild barbarians of Germany such formidable enemies to the Roman power.
","The State of Germany till the Invasion of the Barbarians, in the Time of the Emperor Decius"
9,317,ch10pa01,"
A.D. 248-268. The nature of the subject
From the great secular games celebrated by Philip to the death of the emperor Gallienus, there elapsed twenty years of shame and misfortune.
During that calamitous period, every instant of time was marked, every province of the Roman world was afflicted, by barbarous invaders and military tyrants, and the ruined empire seemed to approach the last and fatal moment of its dissolution.
The confusion of the times and the scarcity of authentic memorials oppose equal difficulties to the historian, who attempts to preserve a clear and unbroken thread of narration.
Surrounded with imperfect fragments, always concise, often obscure, and sometimes contradictory, he is reduced to collect, to compare, and to conjecture: and though he ought never to place his conjectures in the rank of facts, yet the knowledge of human nature, and of the sure operation of its fierce and unrestrained passions, might, on some occasions, supply the want of historical materials.
","The Emperors Decius, Gallus, Aemilianus, Valerian, and Gallienus The general Irruption of the Barbarians The thirty Tyrants"
10,373,ch11pa01,"
Under the deplorable reigns of Valerian and Gallienus, the empire was oppressed and almost destroyed by the soldiers, the tyrants, and the barbarians.
It was saved by a series of great princes, who derived their obscure origin from the martial provinces of Illyricum.
Within a period of about thirty years, Claudius, Aurelian, Probus, Diocletian, and his colleagues triumphed over the foreign and domestic enemies of the state, re-established, with the military discipline, the strength of the frontiers, and deserved the glorious title of Restorers of the Roman world.
","Reign of Claudius Defeat of the Goths Victories, triumph, and death of Aurelian"
