,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,holy,,great,creed,virtues,,,
1,pope,,,,,,,,julian,,,
2,byzantine,civil,,romans,caliphs,earth,emperors,catholic,reason,,diocletian,prince
3,latin,,people,,koran,towers,power,,subjects,nations,,vataces
4,europe,power,,military,,,,monks,,,,domestic
5,turks,senate,,throne,,cleander,private,clergy,merit,asia,,justice
6,,,art,enemy,apostle,rosamond,order,synod,,,queen,reign
7,italy,zeal,knowledge,imperial,,cunimund,military,,state,ancient,religion,palaeologus
8,turkish,religion,genius,palace,,,,patriarch,,romans,,
9,franks,,power,,medina,combat,,,,inhabitants,shiracouh,
10,princes,,subjects,king,syria,,republic,,constantine,,,throne
11,,laws,royal,public,,,,orthodox,,walls,sacrifice,
12,,bishop,,soldiers,damascus,city,,divine,virtue,war,,
13,sultan,clergy,emperor,,,death,emperor,religious,mind,provinces,practice,general
14,,authority,,empire,moslems,,gold,,reign,,saladin,constantine
15,,,character,barbarians,arabian,,temple,bishops,character,,phasis,cantacuzene
16,empire,government,,general,,battle,romans,,,cities,cairo,
17,,,,,arabs,,citizens,christian,,roman,,civil
18,,ecclesiastical,reign,,mecca,emesa,,,roman,arms,thebais,peace
19,,bishops,rome,army,saracens,gepidae,ancient,god,nature,city,,military
20,king,christians,empire,,prophet,probus,,christ,empire,barbarians,jews,
21,,roman,roman,,,antioch,senate,,laws,empire,alexandria,barbarians
22,greeks,,,roman,caliph,lombards,,,,,noureddin,war
23,constantinople,,justinian,death,,alboin,roman,faith,,country,nile,
24,emperor,church,merit,,mahomet,,,church,,,egypt,
